left,right,exact,approximate,sample
114,1804,0.06904063562297015,0.07071471154032438,random
1532,677,0.03897670920475849,0.04225084267045353,random
405,215,0.0678450356471612,0.06923048048115835,random
920,214,0.23475803243229093,0.23615527929117233,random
1460,174,0.3651640043737545,0.36414421969184696,random
250,661,0.10048438626349203,0.10028324568023302,random
1015,1457,0.06122097188015922,0.062443247755221976,random
2184,417,0.6510330383483173,0.6478208770829379,random
903,467,0.057494570425176736,0.06030336977073915,random
1362,686,0.13334223016192712,0.13484016471706758,random
893,1411,0.19755688743061656,0.200217063487599,random
1148,1632,0.250587717283866,0.25140445255035315,random
1650,2209,0.18683786461903115,0.18613442986765327,random
1369,1047,0.239706025017566,0.24008467030875824,random
1374,1813,0.050883962899238036,0.05326929283054492,random
1927,665,0.8286125182358778,0.8285384350876306,random
1376,1907,0.06648479549879072,0.06769653813657751,random
1921,612,0.24998047681128086,0.253427331456366,random
1245,1281,0.08592031190957614,0.08505524108368981,random
1966,1017,0.24480341420888976,0.2440070691390663,random
2072,565,0.07479020445365997,0.07761501169160963,random
375,140,0.0973711652364471,0.09942238105862768,random
275,953,0.21579329868686611,0.21710973349856427,random
24,310,0.24961554920241533,0.2509914723133632,random
473,1217,0.1585120677101748,0.15789406020924787,random
959,1033,0.2757944165646053,0.2792801942201518,random
545,1801,0.11346103096944155,0.11338903738879717,random
1399,1300,0.2556156058141715,0.2614828727701132,random
1738,20,0.20087098508827472,0.19834047252421902,random
1180,1232,0.28054043033797776,0.27977943726468346,random
1440,1101,0.5781395847357592,0.5775638866585255,random
718,2200,0.1945306461257369,0.19376528316414857,random
1448,797,0.06837722421103125,0.06986477311481429,random
258,845,0.040418728309628955,0.04192966958690473,random
689,1744,0.09352677401327517,0.09293649745922497,random
1114,822,0.12718491374058719,0.12524528571349752,random
1272,1806,0.20482603394296997,0.2067371064614433,random
1860,1862,0.020542050891385992,0.02560386586130841,neighbour
1589,2038,0.022227532316789908,0.022032219642663383,neighbour
655,715,0.01810798377703993,0.01839963855477498,neighbour
1316,2194,0.06676565154956021,0.06781209494334159,neighbour
1456,1592,0.025201164286026367,0.026277093158341078,neighbour
