merge,left,right,distance,height
913,1954,2032,0.020089719824347062,0.020970711762122205
914,709,750,0.019189833513662574,0.02097364871616633
915,1334,1542,0.017571835157771748,0.020979751594474155
916,8,17,0.020985628584143927,0.020985628584143927
917,1261,1677,0.02046352384575443,0.02098701622921488
918,597,599,0.01713472391095274,0.020990473210775056
919,1864,1886,0.020526082302424684,0.020990516904595014
920,586,591,0.017726279236376416,0.020996405304184226
921,239,293,0.02100171381425035,0.02100171381425035
922,1800,1820,0.021012211116213493,0.021012211116213493
923,130,381,0.019023347043377076,0.02101913317829288
924,406,1138,0.020325474287657068,0.02102707798891008
925,917,1266,0.02103299127124684,0.02103299127124684
926,353,580,0.01967129908575194,0.02103488018882365
927,900,1258,0.019898586318481425,0.02104078872567586
928,115,674,0.019940782477166345,0.021044748331255803
929,861,1609,0.02007392160229218,0.021062461745748634
930,1789,1896,0.0210635877196116,0.0210635877196116
931,147,189,0.017255238246391424,0.02106826826893509
932,417,1149,0.01942965302835509,0.021081366611559516
933,84,134,0.020217948545720232,0.021087640898265925
934,1166,1946,0.02108857824887112,0.02108857824887112
935,893,929,0.01933730864422591,0.02110238802053198
936,1672,1858,0.020586999491149435,0.021108305698954433
937,214,635,0.02085334593612765,0.021109191832296925
938,424,475,0.019880078868099962,0.02111528826804414
939,1163,1165,0.01920833507297018,0.021116894288170887
940,159,166,0.020954554049553587,0.021118045317045697
941,618,872,0.021119005886801857,0.021119005886801857
942,1281,1594,0.021130671772156905,0.021130671772156905
943,1034,1544,0.01824868771375375,0.021133063543661165
944,355,505,0.018270542779389602,0.02113312464298714
945,912,939,0.019384013090793406,0.02113818746498371
946,461,1889,0.02104665140310915,0.021139503305084056
947,282,1404,0.019309901855155825,0.021142117644423183
948,1474,2113,0.019323956659611927,0.021150164837565863
949,1580,1640,0.02115481184320688,0.02115481184320688
950,700,2023,0.020837899512958086,0.021156641322315876
951,1950,1988,0.018641671509135035,0.02115769397796103
952,396,399,0.02088362527463388,0.021163567981007117
953,555,760,0.020315351242236705,0.021168774065068743
954,50,796,0.019820292739599822,0.021170686375276825
955,546,1513,0.01781087282533746,0.02117281020436366
956,1077,1112,0.021179358862048685,0.021179358862048685
957,1777,1931,0.01905960909218686,0.021181057068500878
958,1009,1181,0.021188775639908175,0.021188775639908175
959,1079,1516,0.020840013721117247,0.021196309380305815
960,809,1171,0.021205053865617586,0.021205053865617586
961,1669,1892,0.01865718965509941,0.021210266598591734
962,372,2102,0.01922519071867662,0.021217604375937157
963,1638,1834,0.021221885998167028,0.021221885998167028
964,1,24,0.021222110508995667,0.021222110508995667
965,273,755,0.02058808078952866,0.021225539012355375
966,622,751,0.018695728747429835,0.021235374571463378
967,200,541,0.01995431484252798,0.02124233306842127
968,648,1506,0.021260125460285363,0.021260125460285363
969,857,909,0.02102226613856412,0.021260804927670553
970,232,244,0.019905357504737826,0.021270434688959255
971,753,1770,0.018134753742054574,0.02127305348787268
972,414,492,0.019792422918858688,0.02127618949641186
973,2173,2179,0.021279862376989526,0.021279862376989526
974,1572,1584,0.020434038651486148,0.021284503201205444
975,3,466,0.021288229108733688,0.021288229108733688
976,1208,1354,0.021291018368713117,0.021291018368713117
977,791,1619,0.01903274925608235,0.021291286256346877
978,313,339,0.020470157433666696,0.021300676921565148
979,489,500,0.01929678525045199,0.02130828472986513
980,321,778,0.019027238123702883,0.021308814577173863
981,1660,1673,0.019812435054165613,0.02131628759838376
982,1773,1810,0.019259351897327456,0.021317527087076397
983,1986,2176,0.019648116133084904,0.02132272008696932
984,171,1052,0.02072323286431073,0.021325566588590236
985,1957,1992,0.017949231246523326,0.021327846464061988
986,703,880,0.02134494717945106,0.02134494717945106
987,1160,1489,0.01859761665337812,0.02135072625637825
988,116,652,0.021369617848711712,0.021369617848711712
989,524,1288,0.02019034964854173,0.02137182744986838
990,179,290,0.021313884595007805,0.0213872849551682
991,21,897,0.020090676738204433,0.02139584183437262
992,37,229,0.02067359187731513,0.021395961218969736
993,400,1703,0.019382498267234143,0.021403822273600076
994,387,895,0.021075979032207016,0.021406601909913572
995,362,423,0.019211366571778285,0.02140700673940148
996,336,1434,0.02016125998879811,0.02141456588055805
997,308,1699,0.02141653249661135,0.02141653249661135
998,1771,1814,0.021420980204699624,0.021420980204699624
999,1860,1865,0.021424752966884553,0.021424752966884553
1000,1968,2118,0.02142745605943803,0.02142745605943803
1001,225,444,0.02101271365056979,0.02143293413717058
