merge,left,right,distance,height
704,1011,1016,1.2695176919082416,1.2695176919082416
705,1456,1475,1.2696248575510665,1.2696248575510665
706,535,539,1.260597930688903,1.2696794451521978
707,2198,2206,1.2698425099200301,1.2698425099200301
708,528,529,1.2699730834364418,1.2699730834364418
709,1493,1497,1.122595692328888,1.2700761164597163
710,2183,2186,1.2188674066944458,1.270268028167539
711,632,744,1.270334601591251,1.270334601591251
712,248,257,1.2372547513458545,1.2704522296881249
713,36,49,1.2165664854850495,1.2705393015565627
714,1044,1136,1.2705621713605824,1.2705621713605824
715,1822,1854,1.2705688639720558,1.2705688639720558
716,443,495,1.2706926709262079,1.2706926709262079
717,2008,2064,1.2707127465929284,1.2707127465929284
718,1900,1912,1.267818577548946,1.2707395024801638
719,573,785,1.270803083168466,1.270803083168466
720,2028,2029,1.247892781675503,1.2708204152052176
721,1166,1374,1.2710305690592163,1.2710305690592163
722,2155,2156,1.2493705898364589,1.2710908456790673
723,2162,2163,1.262205714337455,1.2711961220568235
724,282,284,1.2258448426417166,1.2712298687344208
725,1351,1358,1.260523727673229,1.2712346311484364
726,876,877,1.2713382792979078,1.2713382792979078
727,754,759,1.271448635475717,1.271448635475717
728,1649,1651,1.2718030481160516,1.2718030481160516
729,1983,1984,1.27186656447252,1.27186656447252
730,185,204,1.27201030030485,1.27201030030485
731,346,358,1.2558130141588018,1.2722137340457675
732,575,668,1.256459500417932,1.2723059752580435
733,1013,1533,1.2177506586599196,1.2724502229240762
734,741,743,1.2621012874820894,1.2726333752422478
735,153,159,1.2726552402533136,1.2726552402533136
736,1595,1610,1.1720272860235272,1.2727347727563587
737,1349,1568,1.2340582076482236,1.2728933946172667
738,1605,1621,1.2729124567105867,1.2729124567105867
739,181,199,1.2303074666866962,1.2729220510426782
740,129,142,1.218410361710623,1.2732124189520797
741,1324,1332,1.2421522357870431,1.27322678174381
742,1778,1818,1.230317834053103,1.2733408729402365
743,763,885,1.2735469244230797,1.2735469244230797
744,394,399,1.2320928216203668,1.2736139001815365
745,2045,2059,1.2078153945081533,1.2736656238754112
746,913,926,1.274164392046484,1.274164392046484
747,1736,1737,1.2741910865996786,1.2741910865996786
748,1893,1901,1.2745514083460925,1.2745514083460925
749,1765,1782,1.2746214590793536,1.2746214590793536
750,1012,1019,1.2746881704843704,1.2746881704843704
751,1758,1759,1.2748215828213816,1.2748215828213816
752,1290,1292,1.2441803301280538,1.2749114233255021
753,726,727,1.2749616507504669,1.2749616507504669
754,748,764,1.2396887638808862,1.2750972255035538
755,1461,1639,1.2461368876881642,1.2752285043817484
756,1210,1211,1.2752817482481926,1.2752817482481926
757,1882,1884,1.220373395518682,1.2755355852579413
758,59,73,1.27581173306695,1.27581173306695
759,131,132,1.2758617202705402,1.2758617202705402
760,2091,2092,1.275881714603617,1.275881714603617
761,58,62,1.2758817146036172,1.2758817146036172
762,777,780,1.2383951102049755,1.2759047775700751
763,2150,2151,1.276005006067847,1.276005006067847
764,601,623,1.2754851017938083,1.2760398714206203
765,733,734,1.276094967996873,1.276094967996873
766,1163,1176,1.2761782604248333,1.2761782604248333
767,736,739,1.2762881981064669,1.2762881981064669
768,1078,1079,1.2374299952713608,1.2763784818762165
769,163,164,1.2763881332363867,1.2763881332363867
770,1416,1417,1.2764547523096461,1.2764547523096461
771,1659,1670,1.2613532038100614,1.2767482608062508
772,577,587,1.2767844655338556,1.2767844655338556
773,574,579,1.173488316913285,1.2768409702313974
774,2081,2082,1.276867712984625,1.276867712984625
775,830,838,1.2768710427697652,1.2768710427697652
776,433,434,1.276884361823493,1.276884361823493
777,2131,2132,1.276907669833224,1.276907669833224
778,1048,1448,1.276944295846095,1.276944295846095
779,1390,1391,1.276994238716169,1.276994238716169
780,2031,2037,1.159257327352478,1.2771412404880182
781,1253,1266,1.2746014449769842,1.2772229249241227
782,1181,1182,1.2773637552652375,1.2773637552652375
783,1437,1441,1.2774070249857694,1.2774070249857694
784,1970,1971,1.2402339586178268,1.2774522901544163
785,2068,2164,1.2389099883299335,1.2777678759621685
