stage,ensemble,family,arm,start,open,closed,intermediate,recovery,tv,ess_fraction,open_conditional_ess,closed_conditional_ess,intermediate_conditional_ess
rate,ISO_BI,profile_logpf,18,0,0.06658056826116368,0.9334194317388362,0.0,65.11274724066138,0.3334194317388363,0.7851107559136514,41.714421487984005,644.8803958004369,
rate,ISO_BI,profile_logpf,18,1,0.06662532522184658,0.9333746747781534,0.0,65.1194586524171,0.3333746747781534,0.7840595247371286,41.71471340862794,643.955023380045,
rate,ISO_TRI,unregularised,0,0,0.10706148732642508,0.3424505705948122,0.5504879420787631,39.50658656416663,0.550487942078763,0.004686396422790731,3.6341286487840554,12.457583934045076,3.6363727054605945
rate,ISO_TRI,unregularised,0,1,0.10705861451007553,0.34245158901057654,0.550489796479348,39.50638164856349,0.550489796479348,0.004686715200356485,3.633669049833728,12.456244730121545,3.6367385038259448
rate,ISO_TRI,maxent,1,0,0.10700301634400185,0.34213868264575564,0.5508583010102425,39.48233836157142,0.5508583010102426,0.0046941859928941706,3.639261707236351,12.548440982933666,3.644156871736231
rate,ISO_TRI,maxent,1,1,0.10699807107589172,0.3421340135672698,0.5508679153568387,39.48159799410589,0.5508679153568385,0.004694503882982455,3.638633480152263,12.546035003164244,3.6446460516297754
rate,ISO_TRI,maxent,2,0,0.10516236067519003,0.3284668938168631,0.5663707455079467,38.48326662999322,0.5663707455079467,0.0046173203563311515,4.0884455634736,12.619740599296009,3.726349020637031
rate,ISO_TRI,maxent,2,1,0.10516085876074271,0.3284555008512463,0.566383640388011,38.482434343894965,0.5663836403880109,0.004617514461325597,4.08853476155689,12.61813862711408,3.7267112537684346
rate,ISO_TRI,maxent,3,0,0.10196279691611214,0.32465139763738426,0.5733858054465035,37.95554798444931,0.5733858054465035,0.004407122816966548,4.215389386060766,12.989621083578143,3.5970756430646964
rate,ISO_TRI,maxent,3,1,0.10196232704317808,0.32465964083619614,0.5733780321206258,37.956005996069244,0.5733780321206258,0.004407018907144669,4.215381075402322,12.989436901219362,3.5969035278264836
rate,ISO_TRI,maxent,4,0,0.0744655607452628,0.30386636256068644,0.6216680766940508,34.04692320983068,0.6216680766940508,0.0039733372522259966,4.505624075925391,21.427592188961118,3.592618992299698
rate,ISO_TRI,maxent,4,1,0.07446556039643976,0.30386636251585003,0.6216680770877103,34.04692317183211,0.6216680770877103,0.003973337237072962,4.505624118738823,21.427591953597055,3.5926189832055866
rate,ISO_TRI,maxent,5,0,0.022677768103925144,0.41568646388859354,0.5616357680074814,33.62808109786564,0.5616357680074813,0.8721043859220411,40.36901722229698,758.6015517561781,1147.752001633404
rate,ISO_TRI,maxent,5,1,0.02267776729747645,0.4156864519382605,0.5616357807642631,33.62808038950826,0.5616357807642631,0.8721044037201735,40.36901705152316,758.6015503662712,1147.7520411847115
rate,ISO_TRI,maxent,6,0,0.02009569384609559,0.37891270782176306,0.6009915983321413,31.407123203540856,0.6009915983321413,0.9977906147407389,43.962213726073514,829.2498929054258,1347.17844366504
rate,ISO_TRI,maxent,6,1,0.02009203588762439,0.37892072900655316,0.6009872351058225,31.406938784744508,0.6009872351058225,0.9977904946968437,43.96223936587889,829.2500869010045,1347.1784109157156
rate,ISO_TRI,scalar_logpf,7,0,0.06329132847394509,0.2868276246187645,0.6498810469072904,31.87640889422988,0.6498810469072904,0.002668931240133468,12.806393322893692,54.23495355692953,2.535594547835864
rate,ISO_TRI,scalar_logpf,7,1,0.0615786765743134,0.28070211536714806,0.6577192080585386,31.328607947903897,0.6577192080585386,0.0025560827150929917,13.877188373420971,56.792146904537766,2.4837461322623895
rate,ISO_TRI,scalar_logpf,8,0,0.05486477497007967,0.2639839823621911,0.6811512426677291,29.600365761266968,0.6811512426677291,0.0022280063302728375,17.326387815700627,107.68997036194934,2.309427705411925
rate,ISO_TRI,scalar_logpf,8,1,0.05503924228082324,0.26342191921681024,0.6815388385023669,29.585097219502956,0.6815388385023666,0.002227635641833616,17.501109383571368,107.73831999942887,2.311628135236089
rate,ISO_TRI,scalar_logpf,9,0,0.048521858582873216,0.234751901664385,0.7167262397527416,27.103797528824835,0.7167262397527417,0.003774760523307149,11.516216389952158,212.79475279510518,4.331313942607464
rate,ISO_TRI,scalar_logpf,9,1,0.05029903986517567,0.23604538809124062,0.7136555720435839,27.379517926427276,0.7136555720435838,0.0038131328901376553,8.920393220794308,194.68666365931463,4.342040976990904
rate,ISO_TRI,scalar_logpf,10,0,0.03350912730680723,0.4327240245142736,0.5337668481789192,36.097018890263534,0.5337668481789192,0.39895230428568207,24.314532747432153,440.0750511249467,435.05911845179656
rate,ISO_TRI,scalar_logpf,10,1,0.033509789141563905,0.43272286002421634,0.5337673508342196,36.097057349922544,0.5337673508342197,0.39895208072287375,24.31510489633122,440.07444782899944,435.0588745574016
rate,ISO_TRI,scalar_logpf,11,0,0.027469178973581556,0.4407572449447199,0.5317735760816985,35.58791104252587,0.5317735760816986,0.57456919075584,35.47818406661398,580.749908235172,663.1267453757599
rate,ISO_TRI,scalar_logpf,11,1,0.02746695431660889,0.44053291662170796,0.532000129061683,35.57677553066819,0.5320001290616831,0.5749193525014359,35.4779071354408,580.7299898518385,663.9163697910988
rate,ISO_TRI,scalar_logpf,12,0,0.023766500265344267,0.4467590975910861,0.5294744021435696,35.293199738009264,0.5294744021435696,0.6993512650856989,35.86206279990529,694.4438914537764,825.7907369132207
rate,ISO_TRI,scalar_logpf,12,1,0.023734100233810007,0.4458343182680703,0.5304315814981198,35.24409494264508,0.5304315814981198,0.700156893815325,35.8621176588872,693.4658803257194,828.5632514440267
rate,ISO_TRI,profile_logpf,13,0,0.04633780119223535,0.4811099657308174,0.47255223307694727,40.26475962337535,0.47255223307694727,0.2575455725788158,24.42373254004907,277.82729850460527,270.9900772049857
rate,ISO_TRI,profile_logpf,13,1,0.045247539828557906,0.48165486805966096,0.47309759211178115,40.141704224493694,0.47309759211178115,0.25715613640958146,23.559872285952093,277.8503947003492,271.01123969225506
rate,ISO_TRI,profile_logpf,14,0,0.040417633260867225,0.48466209221733436,0.4749202745217985,39.610389142091876,0.47492027452179847,0.3383082136817811,27.50929482826484,367.36014687110196,358.19402956651
rate,ISO_TRI,profile_logpf,14,1,0.04041725975375022,0.4846616399200425,0.47492110032620727,39.61031410040358,0.47492110032620727,0.33830822474575983,27.50938013501096,367.36002569963625,358.1940119685018
rate,ISO_TRI,profile_logpf,15,0,0.03542215997794718,0.4786360727421914,0.4859417672798614,38.59756088904894,0.4859417672798614,0.42988547472426714,30.58356798052139,460.7439274837085,465.5430586256765
rate,ISO_TRI,profile_logpf,15,1,0.03542212841071631,0.47863619005350505,0.48594168153577866,38.59756183565294,0.48594168153577866,0.42988542973940225,30.583542535140925,460.743943411144,465.5429660652105
rate,ISO_TRI,profile_logpf,16,0,0.03190742720052818,0.48272562935189334,0.4853669434475786,38.26532119251462,0.4853669434475785,0.5315363630893691,34.65775817807259,574.8762765959905,573.4358151236738
rate,ISO_TRI,profile_logpf,16,1,0.031858427343348455,0.4824864299101441,0.4856551427465074,38.24657292958074,0.48565514274650745,0.5319477296418583,34.65542006237006,574.8702719912383,574.3523175986292
