arm,family,strength,start,open,closed,intermediate,recovery,tv,ess_fraction,open_conditional_ess,closed_conditional_ess,intermediate_conditional_ess
24,hybrid_logpf,0.1,0,0.06511999685835484,0.4578286383510287,0.4770513647906166,41.50867841692963,0.4770513647906165,0.5412190184878598,43.99244745198527,660.5252904758128,546.1562119943526
24,hybrid_logpf,0.1,1,0.06526465532033053,0.4578867409485343,0.4768486037311351,41.52921124388623,0.47684860373113513,0.5411987359061934,43.99235743018688,660.4742803625049,546.3514053603905
25,hierarchical_rmsd,0.1,0,0.30716545317427263,0.456350718721773,0.23648382810395446,63.98367401514027,0.2364838281039544,0.003936323998808904,2.524607487110203,9.321571617307757,1.0268280686423024
25,hierarchical_rmsd,0.1,1,0.31785459018123513,0.44592996951380487,0.2362154403049601,63.98320812990546,0.23621544030496006,0.004012060502243877,2.833910294130398,8.923208297720985,1.031650714136904
26,hierarchical_rmsd,0.1,0,0.33810375824852673,0.43076175203136263,0.23113448972011066,64.29159399661508,0.23113448972011064,0.004117751084257626,3.807392100614356,6.004066040775894,1.1079676226493524
26,hierarchical_rmsd,0.1,1,0.3406677614824304,0.430969677467821,0.22836256104974859,64.51225868201918,0.2283625610497486,0.00410793730035967,3.7992464979739373,5.942553219335133,1.0954505980852702
27,hierarchical_rmsd,0.1,0,0.34168594759956294,0.4344234516787051,0.22389060072173184,64.90001113918015,0.2238906007217319,0.004006010437086874,3.6742290987457538,5.81365778416987,1.0453217163173645
27,hierarchical_rmsd,0.1,1,0.3416976767112581,0.4344529701080886,0.2238493531806532,64.90357689084894,0.22384935318065324,0.004006243034451724,3.6736328566138887,5.814812786936562,1.0451941219801224
28,hierarchical_rmsd,0.1,0,0.3281174234424617,0.46410909222150776,0.20777348433603052,66.42521292769383,0.20777348433603055,0.004086997227651262,2.3371705894469117,9.314534713984353,1.058647388750185
28,hierarchical_rmsd,0.1,1,0.3281111260238369,0.4683229210284725,0.20356595294769075,66.80123619041906,0.20356595294769067,0.0041542351603661995,2.3211601282709933,9.766916321415142,1.0530565277753619
29,hierarchical_rmsd,0.1,0,0.29242739794192824,0.4647394002451044,0.2428332018129674,63.437325978435766,0.24283320181296736,0.003235564778204107,1.2347427578140466,14.563785076368111,1.0756815500439325
29,hierarchical_rmsd,0.1,1,0.2912647243500729,0.46664492500737503,0.24209035064255194,63.49398757432564,0.24209035064255202,0.0032359974236237906,1.2199080400808942,14.370421210358863,1.0814900831862466
